Stimulus_Pair,response,correct,Block,phase,pers,delay,rpred,caseid
vegan (3).png,m,0,6,train,1.0,33.0,1.0,1
vegan (6).png,m,0,6,train,1.0,16.0,2.0,1
vegan (5).png,z,0,6,train,1.0,6.0,6.0,1
vegan (1).png,z,0,6,train,1.0,5.0,7.0,1
vegan (2).png,z,0,6,train,1.0,12.0,3.0,1
vegan (4).png,m,0,6,train,1.0,10.0,6.0,1
vegan (3).png,m,0,6,train,1.0,39.0,1.0,1
vegan (6).png,m,0,6,train,1.0,22.0,2.0,1
animal (1).png,z,1,3,train,0.0,0.0,0.0,1
animal (2).png,m,1,3,train,0.0,0.0,0.0,1
animal (3).png,m,1,3,train,0.0,0.0,0.0,1
animal (1).png,z,1,3,train,0.0,3.0,1.0,1
animal (3).png,m,1,3,train,0.0,2.0,1.0,1
animal (2).png,m,1,3,train,0.0,4.0,1.0,1
animal (2).png,m,1,3,train,0.0,1.0,2.0,1
animal (3).png,m,1,3,train,0.0,3.0,2.0,1
animal (1).png,z,1,3,train,0.0,5.0,2.0,1
animal (1).png,z,1,3,train,0.0,1.0,3.0,1
animal (2).png,m,1,3,train,0.0,4.0,3.0,1
animal (3).png,m,1,3,train,0.0,4.0,3.0,1
animal (1).png,z,1,3,train,0.0,3.0,4.0,1
animal (3).png,m,1,3,train,0.0,2.0,4.0,1
animal (2).png,m,1,3,train,0.0,4.0,4.0,1
animal (2).png,m,1,3,train,0.0,1.0,5.0,1
animal (3).png,m,1,3,train,0.0,3.0,5.0,1
animal (1).png,z,1,3,train,0.0,5.0,5.0,1
animal (3).png,m,1,3,train,0.0,2.0,6.0,1
animal (2).png,m,1,3,train,0.0,4.0,6.0,1
animal (1).png,z,1,3,train,0.0,3.0,6.0,1
animal (1).png,z,1,3,train,0.0,1.0,7.0,1
animal (3).png,m,1,3,train,0.0,4.0,7.0,1
animal (2).png,m,1,3,train,0.0,4.0,7.0,1
animal (2).png,m,1,3,train,0.0,1.0,8.0,1
animal (3).png,m,1,3,train,0.0,3.0,8.0,1
animal (1).png,z,1,3,train,0.0,5.0,8.0,1
animal (3).png,m,1,3,train,0.0,2.0,9.0,1
animal (1).png,z,1,3,train,0.0,2.0,9.0,1
animal (2).png,m,1,3,train,0.0,5.0,9.0,1
animal (2).png,m,1,3,train,0.0,1.0,10.0,1
animal (3).png,m,1,3,train,0.0,4.0,10.0,1
animal (2).png,m,1,3,train,0.0,2.0,11.0,1
animal (1).png,z,1,3,train,0.0,5.0,10.0,1
animal (3).png,m,1,3,train,0.0,3.0,11.0,1
